[27/01/2012 19:23:48] /s arcanine
[27/01/2012 19:23:53] /n venosaur
[27/01/2012 19:23:59] /n executter
[27/01/2012 19:24:23] /n bulbasaur
[27/01/2012 19:24:29] /m venosaur
[27/01/2012 19:24:34] /m tauros
[27/01/2012 19:25:16] /goto dorgado
[27/01/2012 19:25:19] /goto dorgado
[27/01/2012 19:25:20] /goto dorgado
[27/01/2012 19:25:21] /goto dorgado
[27/01/2012 19:25:23] /goto dorgado
[27/01/2012 19:25:31] /kick dorgado
[27/01/2012 19:25:33] /kick dorgado
[27/01/2012 19:25:39] /goto dorgado
[27/01/2012 19:25:42] /goto dorgado
[27/01/2012 19:25:42] /goto dorgado
[27/01/2012 19:25:43] /goto dorgado
[27/01/2012 19:25:44] /goto dorgado
[27/01/2012 19:25:45] /goto dorgado
[27/01/2012 19:25:48] /kick dorgado
[27/01/2012 19:25:51] /goto dorgado
[27/01/2012 19:25:52] /goto dorgado
[27/01/2012 19:25:53] /goto dorgado
[27/01/2012 19:25:54] /goto dorgado
[27/01/2012 19:25:54] /goto dorgado
[27/01/2012 19:25:55] /goto dorgado
[27/01/2012 19:25:56] /goto dorgado
[27/01/2012 19:25:57] /goto dorgado
[27/01/2012 19:26:08] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:09] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:10] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:11] /goto dorgado
[27/01/2012 19:26:12] /goto dorgado
[27/01/2012 19:26:12] /goto dorgado
[27/01/2012 19:26:12] /goto dorgado
[27/01/2012 19:26:12] /goto dorgado
[27/01/2012 19:26:12] /goto dorgado
[27/01/2012 19:26:12] /goto dorgado
[27/01/2012 19:26:12] /goto dorgado
[27/01/2012 19:26:12] /goto dorgado
