[18/06/2011 14:47:18] /m mewtwo
[18/06/2011 14:47:21] /s mew
[18/06/2011 14:47:41] /i rare candy
[18/06/2011 14:47:43] /i rare candy
[18/06/2011 14:51:53] /newtype 200
[18/06/2011 14:52:05] /r
[18/06/2011 14:52:07] /r
[18/06/2011 14:52:11] /r
[18/06/2011 14:52:16] /newtype 201
[18/06/2011 14:52:18] /newtype 202
[18/06/2011 14:52:19] /newtype 203
[18/06/2011 14:52:21] /newtype 224
[18/06/2011 14:52:25] /newtype 223
[18/06/2011 14:52:27] /newtype 225
[18/06/2011 14:52:32] /newtype 300
[18/06/2011 14:52:36] /newtype 301
[18/06/2011 14:52:41] /newtype 302
[18/06/2011 14:52:44] /newtype 303
[18/06/2011 14:52:48] /newtype 304
[18/06/2011 14:52:52] /newtype 304
[18/06/2011 14:52:53] /newtype 305
[18/06/2011 14:52:55] /newtype 306
[18/06/2011 14:52:56] /newtype 307
[18/06/2011 14:52:58] /newtype 308
[18/06/2011 14:52:59] /newtype 309
[18/06/2011 14:53:01] /newtype 310
[18/06/2011 14:53:03] /newtype 311
[18/06/2011 14:53:04] /newtype 312
[18/06/2011 14:53:08] /newtype 313
[18/06/2011 14:53:12] /newtype 314
[18/06/2011 14:53:14] /newtype 315
[18/06/2011 14:53:15] /newtype 316
[18/06/2011 14:53:18] /newtype 317
[18/06/2011 14:53:19] /newtype 318
[18/06/2011 14:53:23] /newtype 319
[18/06/2011 14:53:26] /newtype 320
[18/06/2011 14:53:27] /newtype 321
[18/06/2011 14:53:29] /newtype 324
[18/06/2011 14:53:31] /newtype 340
[18/06/2011 14:53:35] /newtype 368
[18/06/2011 14:53:38] /newtype 400
[18/06/2011 14:53:41] /newtype 423
[18/06/2011 14:53:43] /newtype 700
[18/06/2011 14:53:49] /newtype 480
[18/06/2011 14:53:52] /newtype 490
[18/06/2011 14:53:54] /newtype 491
[18/06/2011 14:54:02] /newtype 492
[18/06/2011 14:54:04] /newtype 493
[18/06/2011 14:54:08] /newtype 494
[18/06/2011 14:54:09] /newtype 495
[18/06/2011 14:54:13] /newtype 496
[18/06/2011 14:54:15] /newtype 497
[18/06/2011 14:54:17] /newtype 498
[18/06/2011 14:54:25] /newtype 499
[18/06/2011 14:54:30] /newtype 500
[18/06/2011 14:54:33] /newtype 501
[18/06/2011 14:54:35] /newtype 502
[18/06/2011 14:54:45] /newtype 503
[18/06/2011 14:54:47] /newtype 504
[18/06/2011 14:54:51] /newtype 505
[18/06/2011 14:54:53] /newtype 506
[18/06/2011 14:54:56] /newtype 50
[18/06/2011 14:54:59] /newtype 507
[18/06/2011 14:55:01] /newtype 508
[18/06/2011 14:55:03] /newtype 509
[18/06/2011 14:55:05] /newtype 510
[18/06/2011 14:55:07] /newtype 512
[18/06/2011 14:55:08] /newtype 511
[18/06/2011 14:55:13] /newtype 513
[18/06/2011 14:55:15] /newtype 514
[18/06/2011 14:55:16] /newtype 515
[18/06/2011 14:55:18] /newtype 516
[18/06/2011 14:55:20] /newtype 517
[18/06/2011 14:55:21] /newtype 518
[18/06/2011 14:55:23] /newtype 519
[18/06/2011 14:55:26] /newtype 520
[18/06/2011 14:55:28] /newtype 521
[18/06/2011 14:55:29] /newtype 522
[18/06/2011 14:55:31] /newtype 523
[18/06/2011 14:55:33] /newtype 524
[18/06/2011 14:55:39] /newtype 525
[18/06/2011 14:55:43] /newtype 526
[18/06/2011 14:55:47] /newtype 527
[18/06/2011 14:55:50] /newtype 528
[18/06/2011 14:55:52] /newtype 529
[18/06/2011 14:55:55] /newtype 530
[18/06/2011 14:55:57] /newtype 531
